Freq:2500000000
Bias:                0.17ms of 10000 times

thread(0) id:2904
                              :      Self Time       ms,      Full Time       ms,      Self Avg Time   ms,      Full Avg Time   ms,      Full Max Time   ms
          ImeInquire(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        IsSystemUser(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        IsInSafeMode(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         InitRuntime(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     InitMemSharable(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      InitVersionReg(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          Correcting(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     InitUserManager(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          InitProcEx(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     InitCrushReport(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          InitUserId(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            InitEnv0(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        InitPingback(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         InitUserEnv(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      InitUserSwitch(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
             InitEnv(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           AddUiFunc(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
            LoadDict(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          LoadPlugin(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           InitTimer(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
               ForBD(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      InitQuickInput(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
  DelayCreateProcess(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
     InitSkinPreview(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
         InitKeyStat(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          InitPlugin(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       InitUsageStat(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        InitObserver(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      InitUiResource(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       InitComponent(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           ImeSelect(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
 ImeSetActiveContext(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
        ImeToAsciiEx(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
       ImeProcessKey(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
           NotifyIME(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          ImeSelect1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
          ImeSelect2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      ImeProcessKey1(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      ImeProcessKey2(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      ImeProcessKey3(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      ImeProcessKey4(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
      ImeProcessKey5(       0):                 0.00 ms,                 0.00 ms,              not use   ,              not use   ,                 0.00 ms
